index,verbatimScientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,basisOfRecord,institutionCode
19753,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.688236,-103.750653,2010-11-06,HUMAN_OBSERVATION,ENCB-IPN
19754,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.765069,-103.790042,2011-11-02,HUMAN_OBSERVATION,ENCB-IPN
19755,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.685347,-103.760825,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19756,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698239,-103.749539,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19757,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.683692,-103.772994,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19758,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.716886,-103.750119,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19759,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19760,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19761,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.633244,-103.774056,2009-05-12,HUMAN_OBSERVATION,ENCB-IPN
19762,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19763,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.769178,-103.786972,2010-11-08,HUMAN_OBSERVATION,ENCB-IPN
19764,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.688236,-103.750653,2010-11-06,HUMAN_OBSERVATION,ENCB-IPN
19765,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686044,-103.745775,2006-08-29,HUMAN_OBSERVATION,ENCB-IPN
19766,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.683692,-103.772994,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19767,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19768,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19769,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698239,-103.749539,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19770,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19771,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.762614,-103.786992,2011-11-02,HUMAN_OBSERVATION,ENCB-IPN
19772,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.689386,-103.749144,2010-11-11,HUMAN_OBSERVATION,ENCB-IPN
19773,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686339,-103.7659,2011-04-18,HUMAN_OBSERVATION,ENCB-IPN
19774,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.765069,-103.790042,2011-11-02,HUMAN_OBSERVATION,ENCB-IPN
19775,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.688236,-103.750653,2010-11-06,HUMAN_OBSERVATION,ENCB-IPN
19776,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19777,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.768467,-103.786094,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19778,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.688836,-103.750267,2011-04-17,HUMAN_OBSERVATION,ENCB-IPN
19779,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.688236,-103.750653,2010-11-06,HUMAN_OBSERVATION,ENCB-IPN
19780,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698239,-103.749539,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19781,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19782,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.757364,-103.770503,2011-10-27,HUMAN_OBSERVATION,ENCB-IPN
19783,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.692933,-103.740833,2010-11-14,HUMAN_OBSERVATION,ENCB-IPN
19784,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.769178,-103.786972,2010-11-05,HUMAN_OBSERVATION,ENCB-IPN
19785,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686044,-103.745775,2006-08-29,HUMAN_OBSERVATION,ENCB-IPN
19786,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.75905,-103.783922,2005-10-14,HUMAN_OBSERVATION,ENCB-IPN
19787,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686044,-103.745775,2006-08-29,HUMAN_OBSERVATION,ENCB-IPN
19788,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19789,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19790,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686339,-103.7659,2011-04-18,HUMAN_OBSERVATION,ENCB-IPN
19791,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.771419,-103.749997,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19792,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.692933,-103.740833,2010-11-12,HUMAN_OBSERVATION,ENCB-IPN
19793,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.683692,-103.772994,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19794,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.716886,-103.750119,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19795,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.689386,-103.749144,2010-11-11,HUMAN_OBSERVATION,ENCB-IPN
19796,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.765069,-103.790042,2011-11-02,HUMAN_OBSERVATION,ENCB-IPN
19797,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19798,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19799,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.759853,-103.776561,2011-10-26,HUMAN_OBSERVATION,ENCB-IPN
19800,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19801,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.771419,-103.749997,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19802,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.759853,-103.776561,2011-10-26,HUMAN_OBSERVATION,ENCB-IPN
19803,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686639,-103.7682,2010-05-10,HUMAN_OBSERVATION,ENCB-IPN
19804,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.674186,-103.785889,2011-04-18,HUMAN_OBSERVATION,ENCB-IPN
