index,verbatimScientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,basisOfRecord,institutionCode
0,Sylvilagus floridanus,,Coahuila,25.373665,-100.495367,2014-05-16,HUMAN_OBSERVATION,iNaturalist
1,Lepus californicus,,Nuevo León,25.084744,-100.714545,2014-06-01,HUMAN_OBSERVATION,iNaturalist
2,Lepus californicus,,Nuevo León,25.087698,-100.713322,2014-06-01,HUMAN_OBSERVATION,iNaturalist
3,Sylvilagus audubonii,,Nuevo León,25.060069,-100.722721,2014-06-01,HUMAN_OBSERVATION,iNaturalist
4,Lepus californicus,12 km S of Camacho,Zacatecas,22.3022271,-103.390215,1977-07-11,PRESERVED_SPECIMEN,MSU
5,Lepus californicus,3 km W of San Felipe de Nuevo Mercurio (Rancho San Marcos),Zacatecas,24.2290052,-102.1812157,1977-07-13,PRESERVED_SPECIMEN,MSU
6,Sylvilagus floridanus,5 mi. W of Huichopan,Hidalgo,20.3752943,-99.726788,1964-07-15,PRESERVED_SPECIMEN,MSU
7,Sylvilagus audubonii parvulus,6.5 mi. W Nadadores,Coahuila,27.0294563,-101.6864507,1959-07-25,PRESERVED_SPECIMEN,MSU
8,Lepus californicus,32 km SW of Caopas,Zacatecas,24.5768521,-102.3809491,1977-07-11,PRESERVED_SPECIMEN,MSU
9,Lepus californicus,9.5 km E of La Colorada,Zacatecas,23.3834852,-103.6704204,1978-07-09,PRESERVED_SPECIMEN,MSU
10,Sylvilagus floridanus chapmani,7 mi. W La Pesca,Tamaulipas,23.7873725,-97.8831455,1961-08-11,PRESERVED_SPECIMEN,MSU
13,Sylvilagus audubonii parvulus,6 mi. N. Chocolate,Durango,25.3815417,-103.6313447,1961-07-21,PRESERVED_SPECIMEN,MSU
15,Sylvilagus audubonii parvulus,10 mi. S Cuatro,Coahuila,26.8406069,-102.0668741,1959-08-01,PRESERVED_SPECIMEN,MSU
16,Lepus californicus,3 km W of San Felipe de Nuevo Mercurio (Rancho San Marcos),Zacatecas,24.2290052,-102.1812157,1977-07-13,PRESERVED_SPECIMEN,MSU
19,Sylvilagus audubonii minor,12 mi. NW La Resolana,Durango,26.2265561,-105.1254176,1960-07-14,PRESERVED_SPECIMEN,MSU
20,Sylvilagus audubonii parvulus,Hda. Atotonilco,Durango,24.7375879,-103.8363465,1968-04-24,PRESERVED_SPECIMEN,MSU
21,Sylvilagus audubonii,3 km W of San Felipe de Nuevo Mercurio (Rancho San Marcos),Zacatecas,24.2290052,-102.1812157,1977-07-11,PRESERVED_SPECIMEN,MSU
23,Lepus californicus,1.5 mi. W Bermejillo,Durango,25.8883825,-103.6442845,1959-08-10,PRESERVED_SPECIMEN,MSU
24,Lepus alleni,1 mi. N Mazatlan,Sinaloa,23.2506591,-106.4165772,1961-08-04,PRESERVED_SPECIMEN,MSU
25,Sylvilagus floridanus,6 mi. NW La Pila,Durango,24.179906,-104.3503131,1957-07-23,PRESERVED_SPECIMEN,MSU
26,Sylvilagus audubonii,6 mi. NW La Pila,Durango,24.179906,-104.3503131,1957-07-23,PRESERVED_SPECIMEN,MSU
27,Sylvilagus audubonii parvulus,6.5 mi. W Nadadores,Coahuila,27.0294563,-101.6864507,1959-07-26,PRESERVED_SPECIMEN,MSU
28,Sylvilagus floridanus holzneri,"Rancho Las Margaritas, 28 mi. S and 17 mi. W Vicente Guerrero",Durango,23.4696027,-104.3954649,1957-06-28,PRESERVED_SPECIMEN,MSU
29,Sylvilagus audubonii parvulus,40 km ESE of Concepcion del Oro (Canada Astillero),Zacatecas,24.476673,-101.0876246,1978-06-30,PRESERVED_SPECIMEN,MSU
30,Sylvilagus audubonii minor,35 mi. W Mapimi,Durango,25.8333818,-104.3573353,1958-07-01,PRESERVED_SPECIMEN,MSU
31,Sylvilagus floridanus holzneri,"Rancho Las Margaritas, 28 mi. S and 17 mi. W Vicente Guerrero",Durango,23.4696027,-104.3954649,1957-06-28,PRESERVED_SPECIMEN,MSU
33,Lepus californicus,6 mi. NW La Pila,Durango,24.179906,-104.3503131,1957-07-23,PRESERVED_SPECIMEN,MSU
35,Lepus californicus,12 km SE Sabana Grande,Zacatecas,24.4155905,-101.6356635,1976-07-04,PRESERVED_SPECIMEN,MSU
36,Lepus californicus,Villa Ocampa,Durango,26.4416831,-105.5075049,1960-07-14,PRESERVED_SPECIMEN,MSU
37,Sylvilagus audubonii parvulus,6 km E Mazapil,Zacatecas,24.6387109,-101.5011972,1976-07-03,PRESERVED_SPECIMEN,MSU
38,Sylvilagus floridanus orizabae,4 mi. NW of Huitzilac,Morelos,19.0700782,-99.3103845,1964-06-25,PRESERVED_SPECIMEN,MSU
39,Sylvilagus audubonii parvulus,Hacienda Atotonilco,Durango,24.7375879,-103.8363465,1967-08-04,PRESERVED_SPECIMEN,MSU
40,Sylvilagus floridanus chapmani,7 mi. W La Pesca,Tamaulipas,23.7873725,-97.8831455,1961-08-12,PRESERVED_SPECIMEN,MSU
41,Lepus callotis,20 km S of Monte Escobedo,Zacatecas,22.1232144,-103.5604983,1978-07-29,PRESERVED_SPECIMEN,MSU
42,Sylvilagus audubonii parvulus,14 km S of Camacho,Zacatecas,22.2841409,-103.390215,1977-07-11,PRESERVED_SPECIMEN,MSU
43,Sylvilagus floridanus,6 mi. NW La Pila,Durango,24.179906,-104.3503131,1957-07-23,PRESERVED_SPECIMEN,MSU
44,Lepus californicus,"2 Km SW Mezquital, 1450 meters",Durango,23.4606891,-104.4085941,1970-11-15,PRESERVED_SPECIMEN,MSU
45,Sylvilagus floridanus orizabae,"9 mi NW Valparaiso, 8350 feet",Zacatecas,23.5713541,-103.1781006,1970-07-31,PRESERVED_SPECIMEN,MSU
46,Sylvilagus floridanus orizabae,6 km S of Teul de Gonzales Ortega,Zacatecas,21.4093095,-103.461883,1978-08-02,PRESERVED_SPECIMEN,MSU
49,Sylvilagus audubonii minor,7 mi. NNW LaZarca,Durango,25.9294232,-104.7809149,1958-07-07,PRESERVED_SPECIMEN,MSU
50,Sylvilagus audubonii parvulus,9 km NW of Sarteneja,Zacatecas,23.7374113,-101.7669067,1975-07-30,PRESERVED_SPECIMEN,MSU
51,Sylvilagus audubonii minor,7 mi. NNW LaZarca,Durango,25.9294232,-104.7809149,1958-07-05,PRESERVED_SPECIMEN,MSU
52,Sylvilagus audubonii parvulus,13 km WNW of Capriote,Zacatecas,23.6917805,-102.2442069,1978-07-08,PRESERVED_SPECIMEN,MSU
53,Lepus californicus,2 km S of Monte Mariana,Zacatecas,23.3095625,-103.1118828,1978-07-14,PRESERVED_SPECIMEN,MSU
54,Sylvilagus audubonii parvulus,35 km SSE of Concepcion del Oro (Nr. Las Huertas),Zacatecas,24.3226766,-101.3007121,1978-07-02,PRESERVED_SPECIMEN,MSU
57,Romerolagus diazi,2 km W of Paso de Cortez,México,19.0836916,-98.6531471,1964-07-05,PRESERVED_SPECIMEN,MSU
58,Sylvilagus audubonii minor,3 mi. SW of Chocolate,Durango,25.2633693,-103.6622129,1963-07-09,PRESERVED_SPECIMEN,MSU
59,Sylvilagus floridanus,25 km ESE of Jalpa (La Palma),Zacatecas,21.5638379,-102.8163084,1977-07-28,PRESERVED_SPECIMEN,MSU
60,Sylvilagus floridanus orizabae,30 km NE of Jalpa (La Palma),Zacatecas,21.7510596,-102.8157592,1977-07-24,PRESERVED_SPECIMEN,MSU
61,Sylvilagus audubonii parvulus,6 mi. N Chocolate,Durango,25.3815417,-103.6313447,1961-07-21,PRESERVED_SPECIMEN,MSU
62,Sylvilagus floridanus holzneri,"Rancho Las Margaritas, 28 mi. S and 17 mi. W Vicente Guerrero",Durango,23.4696027,-104.3954649,1957-07-03,PRESERVED_SPECIMEN,MSU
63,Lepus californicus,20 km SW of Caopas,Zacatecas,24.6535883,-102.3042086,1977-07-11,PRESERVED_SPECIMEN,MSU
64,Sylvilagus audubonii parvulus,40 km ESE of Concepcion del Oro (Canada Astillero),Zacatecas,24.476673,-101.0876246,1978-07-01,PRESERVED_SPECIMEN,MSU
65,Sylvilagus cunicularius insolitus,4 mi. E of San Blas,Nayarit,21.5399401,-105.2273287,1963-07-16,PRESERVED_SPECIMEN,MSU
66,Sylvilagus audubonii parvulus,13 km WNW of Capriote,Zacatecas,23.6917805,-102.2442069,1978-07-08,PRESERVED_SPECIMEN,MSU
67,Lepus callotis,20 km S of Monte Escobedo,Zacatecas,22.1232144,-103.5604983,1978-07-29,PRESERVED_SPECIMEN,MSU
68,Lepus californicus,2 mi. W La Gacha,Coahuila,28.2039643,-101.624895,1957-08-16,PRESERVED_SPECIMEN,MSU
69,Lepus californicus,"16 mi ENE Villa de Cos, 6650 feet",Zacatecas,23.381199,-102.136759,1971-08-01,PRESERVED_SPECIMEN,MSU
72,Sylvilagus floridanus chapmani,3.5 mi. S of Antiguo Morelos,Tamaulipas,22.4988125,-99.0848355,1963-08-04,PRESERVED_SPECIMEN,MSU
78,Lepus callotis,"Rancho Las Margaritas, 28 mi. S and 17 mi. W Vicente Guerrero",Durango,23.4696027,-104.3954649,1957-07-02,PRESERVED_SPECIMEN,MSU
79,Sylvilagus audubonii parvulus,4 mi. SW La Pila,Durango,24.0741735,-104.3295831,1957-07-26,PRESERVED_SPECIMEN,MSU
80,Sylvilagus audubonii,20 km S of Camacho,Zacatecas,22.2298803,-103.3902147,1977-07-11,PRESERVED_SPECIMEN,MSU
81,Lepus californicus,2 mi. W La Gacha,Coahuila,28.2039643,-101.624895,1957-08-16,PRESERVED_SPECIMEN,MSU
84,Lepus californicus,2 mi. W La Gacha,Coahuila,28.2039643,-101.624895,1957-08-16,PRESERVED_SPECIMEN,MSU
85,Lepus californicus,6 mi. NW La Pila,Durango,24.179906,-104.3503131,1957-07-23,PRESERVED_SPECIMEN,MSU
87,Lepus californicus,7 mi. NNW LaZarca,Durango,25.9294232,-104.7809149,1958-07-05,PRESERVED_SPECIMEN,MSU
88,Sylvilagus audubonii parvulus,15 km NNW of Nieves,Zacatecas,24.1196174,-103.0715695,1978-08-19,PRESERVED_SPECIMEN,MSU
89,Lepus californicus,37 mi. W Mapimi,Durango,25.8333816,-104.386439,1958-07-01,PRESERVED_SPECIMEN,MSU
90,Lepus californicus,10 mi. S Cuatro Cienegas,Coahuila,26.8406069,-102.0668741,1959-08-01,PRESERVED_SPECIMEN,MSU
91,Sylvilagus audubonii parvulus,2 km S of Monte Mariana,Zacatecas,23.3095625,-103.1118828,1978-07-14,PRESERVED_SPECIMEN,MSU
92,Sylvilagus floridanus holzneri,24 mi. SSE Durango,Durango,23.7013673,-104.5363213,1958-07-20,PRESERVED_SPECIMEN,MSU
93,Lepus californicus,7 mi. NNW LaZarca,Durango,25.9294232,-104.7809149,1958-07-07,PRESERVED_SPECIMEN,MSU
95,Lepus californicus,35 mi. W Mapimi,Durango,25.8333818,-104.3573353,1958-07-01,PRESERVED_SPECIMEN,MSU
96,Lepus californicus,3 mi. E Conejos,Durango,22.793228,-104.360476,1958-06-26,PRESERVED_SPECIMEN,MSU
100,Sylvilagus audubonii parvulus,3 km SE of Apizolaya,Zacatecas,24.7959067,-102.2557341,1977-07-06,PRESERVED_SPECIMEN,MSU
101,Sylvilagus audubonii minor,7 mi. NNW LaZarca,Durango,25.9294232,-104.7809149,1958-07-06,PRESERVED_SPECIMEN,MSU
102,Lepus californicus,7 mi. NNW LaZarca,Durango,25.9294232,-104.7809149,1958-07-06,PRESERVED_SPECIMEN,MSU
103,Lepus californicus,7 mi. NNW LaZarca,Durango,25.9294232,-104.7809149,1958-07-06,PRESERVED_SPECIMEN,MSU
104,Sylvilagus audubonii parvulus,27 km S of Camacho,Zacatecas,22.1665761,-103.3902145,1977-07-11,PRESERVED_SPECIMEN,MSU
105,Sylvilagus floridanus,,México,19.581388,-100.211152,2013-08-29,HUMAN_OBSERVATION,iNaturalist
106,Lepus flavigularis,,Oaxaca,16.231961,-94.862153,2011-04-14,HUMAN_OBSERVATION,iNaturalist
107,Lepus alleni,Los Leones,Sinaloa,24.040593,-106.924247,1934-08-10,PRESERVED_SPECIMEN,MLZ
108,Sylvilagus audubonii,"Rio Yaqui, 2 mi W Cocorit",Sonora,27.584006,-110.005394,1933-06-08,PRESERVED_SPECIMEN,MLZ
109,Sylvilagus audubonii,El Orito,Sinaloa,26.943342,-108.30055,1934-03-13,PRESERVED_SPECIMEN,MLZ
110,Sylvilagus floridanus,5 mi SW El Salto,Durango,23.760513,-105.433093,1948-11-15,PRESERVED_SPECIMEN,MLZ
111,Sylvilagus floridanus,Laguna Juanota,Chihuahua,26.488664,-106.47448,1937-07-25,PRESERVED_SPECIMEN,MLZ
112,Sylvilagus floridanus,Lajuela,Colima,19.246099,-104.533169,1943-04-11,PRESERVED_SPECIMEN,MLZ
113,Sylvilagus floridanus,30 mi E Huauchinango,Puebla,20.398607,-97.849852,1942-11-10,PRESERVED_SPECIMEN,MLZ
114,Sylvilagus cunicularius,3 mi NW Tamazulapam,Oaxaca,17.693393,-97.603852,1943-07-07,PRESERVED_SPECIMEN,MLZ
115,Sylvilagus cunicularius,Puerto Vallarta,Jalisco,20.618884,-105.230098,1950-06-19,PRESERVED_SPECIMEN,MLZ
116,Sylvilagus brasiliensis,"Rancho San Martin, 5 mi N Xalapa",Veracruz,19.611402,-96.888724,1939-03-27,PRESERVED_SPECIMEN,MLZ
117,Sylvilagus brasiliensis,17 mi N Poza Rica de Hidalgo,Veracruz,20.783011,-97.477595,1947-11-25,PRESERVED_SPECIMEN,MLZ
118,Sylvilagus floridanus,30 mi E Huauchinango,Puebla,20.398607,-97.849852,1942-11-05,PRESERVED_SPECIMEN,MLZ
119,Sylvilagus insonus,Cerro Tiotepec,Guerrero,17.476865,-100.170976,1947-06-10,PRESERVED_SPECIMEN,MLZ
120,Sylvilagus floridanus,Portezuelo,Hidalgo,20.487173,-99.30606,1940-12-19,PRESERVED_SPECIMEN,MLZ
121,Sylvilagus audubonii,Santo Domingo,San Luis Potosí,22.869053,-100.278894,1946-11-26,PRESERVED_SPECIMEN,MLZ
122,Sylvilagus audubonii,Santo Domingo,San Luis Potosí,22.869053,-100.278894,1946-11-27,PRESERVED_SPECIMEN,MLZ
123,Sylvilagus audubonii,"Rio Nazas, near Abasolo, 110 mi N Durango",Durango,25.311445,-104.655827,1948-12-05,PRESERVED_SPECIMEN,MLZ
124,Sylvilagus audubonii,6 mi S Rioverde,San Luis Potosí,21.786445,-99.928035,1952-04-22,PRESERVED_SPECIMEN,MLZ
125,Sylvilagus audubonii,"Rio Yaqui, 2 mi W Cocorit",Sonora,27.584006,-110.005394,1933-06-09,PRESERVED_SPECIMEN,MLZ
126,Sylvilagus audubonii,San Batauto,Sinaloa,24.570833,-107.578333,1934-02-20,PRESERVED_SPECIMEN,MLZ
127,Sylvilagus audubonii,La Reforma,Sinaloa,25.082065,-108.055973,1934-04-18,PRESERVED_SPECIMEN,MLZ
128,Sylvilagus audubonii,El Fuerte,Sinaloa,26.415321,-108.618325,1933-05-12,PRESERVED_SPECIMEN,MLZ
129,Sylvilagus audubonii,"Rio Yaqui, 2 mi W Cocorit",Sonora,27.584006,-110.005394,1933-06-07,PRESERVED_SPECIMEN,MLZ
130,Romerolagus diazi,N slope Volcan Popocatepetl,México,19.08687,-98.646787,1942-05-23,PRESERVED_SPECIMEN,MLZ
131,Romerolagus diazi,N slope Volcan Popocatepetl,México,19.08687,-98.646787,1942-05-21,PRESERVED_SPECIMEN,MLZ
132,Romerolagus diazi,N slope Volcan Popocatepetl,México,19.08687,-98.646787,1942-05-19,PRESERVED_SPECIMEN,MLZ
133,Romerolagus diazi,N slope Volcan Popocatepetl,México,19.08687,-98.646787,1942-05-23,PRESERVED_SPECIMEN,MLZ
134,Romerolagus diazi,N slope Volcan Popocatepetl,México,19.08687,-98.646787,1942-05-19,PRESERVED_SPECIMEN,MLZ
135,Romerolagus diazi,N slope Volcan Popocatepetl,México,19.08687,-98.646787,1942-05-26,PRESERVED_SPECIMEN,MLZ
136,Romerolagus diazi,N slope Volcan Popocatepetl,México,19.08687,-98.646787,1942-05-25,PRESERVED_SPECIMEN,MLZ
137,Sylvilagus floridanus,El Salto Falls,San Luis Potosí,22.586228,-99.383603,1960-12-26,PRESERVED_SPECIMEN,OMNH
138,Sylvilagus floridanus,El Salto Falls,San Luis Potosí,22.586228,-99.383603,1960-12-26,PRESERVED_SPECIMEN,OMNH
139,Lepus californicus,7 mi E San Roberto,Nuevo León,24.710429,-100.191766,1968-01-20,PRESERVED_SPECIMEN,OMNH
140,Lepus californicus,7 mi E San Roberto,Nuevo León,24.710429,-100.191766,1968-01-20,PRESERVED_SPECIMEN,OMNH
141,Lepus californicus,7 mi E San Roberto,Nuevo León,24.710429,-100.191766,1968-01-20,PRESERVED_SPECIMEN,OMNH
143,Sylvilagus cunicularis,6 mi SE San Antonio,Colima,18.724949,-103.753456,1975-01-10,PRESERVED_SPECIMEN,OMNH
144,Sylvilagus audubonii,12 mi N San Luis Potosi,San Luis Potosí,22.324331,-100.982802,1968-01-24,PRESERVED_SPECIMEN,OMNH
145,Sylvilagus audubonii,,Baja California Sur,24.105394,-110.347538,2013-08-12,HUMAN_OBSERVATION,iNaturalist
146,Lepus californicus,,Baja California Sur,27.96954,-114.079456,2013-06-25,HUMAN_OBSERVATION,iNaturalist
147,Sylvilagus floridanus,,Morelos,18.845743,-99.206818,2013-11-17,HUMAN_OBSERVATION,iNaturalist
148,Sylvilagus floridanus,,Ciudad de México,19.272971,-99.20244,2013-08-02,HUMAN_OBSERVATION,iNaturalist
149,Lepus californicus,,Nuevo León,25.123887,-100.626848,2013-04-26,HUMAN_OBSERVATION,iNaturalist
150,Sylvilagus floridanus,,Nuevo León,23.937271,-99.720669,2009-07-25,HUMAN_OBSERVATION,iNaturalist
151,Lepus californicus,,Nuevo León,23.998799,-100.015068,2013-08-20,HUMAN_OBSERVATION,iNaturalist
155,Sylvilagus floridanus,,México,18.904713,-99.515639,2013-05-28,HUMAN_OBSERVATION,iNaturalist
156,Sylvilagus floridanus,,México,19.717222,-99.199558,2007-05-18,HUMAN_OBSERVATION,iNaturalist
157,Romerolagus diazi,,Ciudad de México,19.058964,-99.110947,2012-05-26,HUMAN_OBSERVATION,iNaturalist
158,Sylvilagus floridanus,,Ciudad de México,19.308333,-99.225,2009-05-17,HUMAN_OBSERVATION,iNaturalist
159,Lepus californicus asellus,,Guanajuato,20.91952,-100.731435,2014-02-02,HUMAN_OBSERVATION,iNaturalist
536,Lepus alleni,"Guaymas, 25 mi N",Sonora,28.2429281,-111.0245436,1954-03-24,PRESERVED_SPECIMEN,PSM
537,Lepus alleni,"Guaymas, 25 mi N",Sonora,28.2429281,-111.0245436,1954-03-24,PRESERVED_SPECIMEN,PSM
541,Sylvilagus bachmani howelli,Sangre de Cristo,Baja California,31.85,-116.116667,1927-06-19,PRESERVED_SPECIMEN,SBMNH
542,Sylvilagus floridanus orizabae,"PABLILLO, 4.5 MI S OF",Nuevo León,24.5296287,-99.9940335,1964-08-25,PRESERVED_SPECIMEN,KU
543,Sylvilagus cunicularius cunicularius,OMILTEMI,Guerrero,17.5573724,-99.6856663,1969-08-02,PRESERVED_SPECIMEN,KU
544,Sylvilagus,QUERENDARO,Michoacán,19.8082617,-100.8858913,1967-06-18,PRESERVED_SPECIMEN,KU
545,Sylvilagus floridanus restrictus,VOLCAN DE FUEGO,Jalisco,19.5622639,-103.6068759,1967-05-31,PRESERVED_SPECIMEN,KU
546,Sylvilagus floridanus restrictus,VOLCAN DE FUEGO,Jalisco,19.5622639,-103.6068759,1967-05-30,PRESERVED_SPECIMEN,KU
547,Sylvilagus cunicularius cunicularius,"JILOTLAN DE LOS DOLORES, 8 MI E OF",Jalisco,19.3711684,-102.9032198,1967-03-12,PRESERVED_SPECIMEN,KU
548,Sylvilagus cunicularius cunicularius,"JILOTLAN DE LOS DOLORES, 8 MI E OF",Jalisco,19.3711684,-102.9032198,1967-03-10,PRESERVED_SPECIMEN,KU
549,Sylvilagus cunicularius cunicularius,"JILOTLAN DE LOS DOLORES, 8 MI E OF",Jalisco,19.3711684,-102.9032198,1967-03-08,PRESERVED_SPECIMEN,KU
550,Sylvilagus cunicularius cunicularius,JILOTLAN DE LOS DOLORES,Jalisco,19.371168,-103.0196345,1967-01-27,PRESERVED_SPECIMEN,KU
551,Sylvilagus cunicularius cunicularius,"JILOTLAN DE LOS DOLORES, 8 MI E OF",Jalisco,19.3711684,-102.9032198,1967-03-08,PRESERVED_SPECIMEN,KU
552,Sylvilagus floridanus restrictus,"TOLIMAN, 12 MI S OF",Jalisco,19.4251823,-103.9127255,1967-04-18,PRESERVED_SPECIMEN,KU
553,Sylvilagus floridanus restrictus,"TOLIMAN, 12 MI S OF",Jalisco,19.4251823,-103.9127255,1967-04-18,PRESERVED_SPECIMEN,KU
554,Sylvilagus floridanus restrictus,"TOLIMAN, 12 MI S OF",Jalisco,19.4251823,-103.9127255,1967-04-18,PRESERVED_SPECIMEN,KU
555,Sylvilagus floridanus restrictus,"TOLIMAN, 12 MI S OF",Jalisco,19.4251823,-103.9127255,1967-04-18,PRESERVED_SPECIMEN,KU
556,Sylvilagus floridanus restrictus,"TOLIMAN, 12 MI S OF",Jalisco,19.4251823,-103.9127255,1967-04-18,PRESERVED_SPECIMEN,KU
557,Sylvilagus floridanus restrictus,"TOLIMAN, 12 MI S OF",Jalisco,19.4251823,-103.9127255,1967-04-16,PRESERVED_SPECIMEN,KU
558,Sylvilagus floridanus restrictus,"TOLIMAN, 12 MI S OF",Jalisco,19.4251823,-103.9127255,1967-04-13,PRESERVED_SPECIMEN,KU
559,Sylvilagus floridanus restrictus,"TOLIMAN, 12 MI S OF",Jalisco,19.4251823,-103.9127255,1967-04-13,PRESERVED_SPECIMEN,KU
560,Sylvilagus floridanus restrictus,"AUTLAN, 20 MI SE OF",Jalisco,19.5656358,-104.1638729,1967-05-02,PRESERVED_SPECIMEN,KU
561,Sylvilagus floridanus restrictus,"AUTLAN, 20 MI SE OF",Jalisco,19.5656358,-104.1638729,1967-04-28,PRESERVED_SPECIMEN,KU
562,Sylvilagus floridanus restrictus,"AUTLAN, 20 MI SE OF",Jalisco,19.5656358,-104.1638729,1967-04-27,PRESERVED_SPECIMEN,KU
563,Sylvilagus floridanus restrictus,"AUTLAN, 20 MI SE OF",Jalisco,19.5656358,-104.1638729,1967-04-27,PRESERVED_SPECIMEN,KU
564,Lepus callotis callotis,TOLIMAN,Jalisco,19.5996441,-103.9127262,1966-10-17,PRESERVED_SPECIMEN,KU
565,Sylvilagus floridanus restrictus,"JIQUILPAN, 5 MI SW OF",Michoacán,19.9427451,-102.7688579,1966-09-26,PRESERVED_SPECIMEN,KU
566,Sylvilagus floridanus subcinctus,"COMANJA DE CORONA, 4.5 MI NE OF",Jalisco,21.3721036,-101.6674776,1966-11-03,PRESERVED_SPECIMEN,KU
567,Sylvilagus floridanus subcinctus,"COMANJA DE CORONA, 4.5 MI NE OF",Jalisco,21.3721036,-101.6674776,1966-11-01,PRESERVED_SPECIMEN,KU
568,Sylvilagus floridanus subcinctus,"COMANJA DE CORONA, 4.5 MI NE OF",Jalisco,21.3721036,-101.6674776,1966-10-28,PRESERVED_SPECIMEN,KU
569,Sylvilagus floridanus subcinctus,"COMANJA DE CORONA, 4.5 MI NE OF",Jalisco,21.3721036,-101.6674776,1966-10-28,PRESERVED_SPECIMEN,KU
570,Sylvilagus floridanus subcinctus,"LAGOS DE MORENO, 14 MI SE OF",Jalisco,21.2123053,-101.7894509,1966-10-06,PRESERVED_SPECIMEN,KU
571,Sylvilagus floridanus subcinctus,"HUEJUQUILLA, 5 MI NE OF",Jalisco,22.6796819,-103.8462804,1966-11-15,PRESERVED_SPECIMEN,KU
572,Lepus callotis callotis,"MATANZAS, 10 MI NW OF",Jalisco,21.736459,-101.7580682,1966-05-17,PRESERVED_SPECIMEN,KU
573,Lepus callotis callotis,LA MESA MARIA DE LEON,Jalisco,22.3101931,-103.2913227,1966-07-19,PRESERVED_SPECIMEN,KU
574,Lepus callotis callotis,LA MESA MARIA DE LEON,Jalisco,22.3101931,-103.2913227,1966-07-19,PRESERVED_SPECIMEN,KU
575,Lepus callotis callotis,LA MESA MARIA DE LEON,Jalisco,22.3101931,-103.2913227,1966-06-24,PRESERVED_SPECIMEN,KU
576,Lepus callotis callotis,LA MESA MARIA DE LEON,Jalisco,22.3101931,-103.2913227,1966-06-24,PRESERVED_SPECIMEN,KU
577,Sylvilagus floridanus subcinctus,"MATANZAS, 10 MI NW OF",Jalisco,21.736459,-101.7580682,1966-05-17,PRESERVED_SPECIMEN,KU
578,Sylvilagus floridanus subcinctus,"MATANZAS, 10 MI NW OF",Jalisco,21.736459,-101.7580682,1966-05-12,PRESERVED_SPECIMEN,KU
579,Sylvilagus floridanus holzneri,"VILLA GUERRERO, 4 MI W OF",Jalisco,21.9835462,-103.659312,1966-06-18,PRESERVED_SPECIMEN,KU
580,Sylvilagus floridanus holzneri,"VILLA GUERRERO, 4 MI W OF",Jalisco,21.9835462,-103.659312,1966-06-17,PRESERVED_SPECIMEN,KU
581,Sylvilagus floridanus holzneri,LA MESA MARIA DE LEON,Jalisco,22.3101931,-103.2913227,1966-06-22,PRESERVED_SPECIMEN,KU
582,Sylvilagus floridanus holzneri,LA MESA MARIA DE LEON,Jalisco,22.3101931,-103.2913227,1966-06-21,PRESERVED_SPECIMEN,KU
583,Sylvilagus floridanus holzneri,MONTE ESCOBEDO,Zacatecas,22.3040824,-103.560499,1966-07-18,PRESERVED_SPECIMEN,KU
584,Sylvilagus cunicularius insolitus,"CHAMELA, 2 MI N OF",Jalisco,19.556365,-105.0733029,1966-06-30,PRESERVED_SPECIMEN,KU
585,Sylvilagus audubonii parvulus,"HUEJUCAR, 3 MI S OF",Jalisco,22.3143192,-103.2102108,1966-07-14,PRESERVED_SPECIMEN,KU
586,Sylvilagus audubonii parvulus,"HUEJUCAR, 3 MI S OF",Jalisco,22.3143192,-103.2102108,1966-07-14,PRESERVED_SPECIMEN,KU
587,Sylvilagus audubonii parvulus,"HUEJUCAR, 3 MI S OF",Jalisco,22.3143192,-103.2102108,1966-07-14,PRESERVED_SPECIMEN,KU
588,Lepus alleni palitans,"EL CARRIZO, 5 MI WNW OF",Sinaloa,25.993615,-109.0220952,1966-11-19,PRESERVED_SPECIMEN,KU
589,Lepus callotis mexicanus,"VILLA GUERRERO, 3 MI N OF",Jalisco,22.0271985,-103.5938286,1966-03-30,PRESERVED_SPECIMEN,KU
590,Sylvilagus,"VILLA GUERRERO, 4 MI W OF",Jalisco,21.9835462,-103.659312,1966-03-29,PRESERVED_SPECIMEN,KU
591,Sylvilagus floridanus subcinctus,"AMATITAN, 3 MI N OF",Jalisco,20.8773356,-103.7318671,1966-01-18,PRESERVED_SPECIMEN,KU
592,Sylvilagus floridanus subcinctus,"YAHUALICA, 10 MI NE OF",Jalisco,21.2850855,-102.7878616,1966-04-05,PRESERVED_SPECIMEN,KU
593,Sylvilagus audubonii parvulus,"ENCARNACION DE DIAZ, 8 MI W OF",Jalisco,21.5246813,-102.3535394,1965-10-07,PRESERVED_SPECIMEN,KU
594,Sylvilagus audubonii goldmani,"ALTATA, 7.5 MI ENE OF",Sinaloa,24.695671,-107.8356305,1965-11-03,PRESERVED_SPECIMEN,KU
595,Romerolagus diazi,"PARRES, 2 KM W OF",Ciudad de México,19.1367425,-99.193437,1965-06-26,PRESERVED_SPECIMEN,KU
596,Romerolagus diazi,"PARRES, 2 KM W OF",Ciudad de México,19.1367425,-99.193437,1965-06-26,PRESERVED_SPECIMEN,KU
597,Romerolagus diazi,"PARRES, 2 KM W OF",Ciudad de México,19.1367425,-99.193437,1965-06-26,PRESERVED_SPECIMEN,KU
